Surname,Origin Town Name,Destination Town Name,Destination State
Aboitiz,Lekeitio,Emmett,Idaho
Aboitiz,Lekeitio,Burns,Oregon
Aboitiz,Lekeitio,Boise,Idaho
Aboitiz,Ereño,Boise,Idaho
Aboitiz,Ereño,Portland,Oregon
Aboitiz,Ereño,Seattle,Washington
Acarregui,Lekeitio,Jordan Valley,Oregon
Achabal,Ispaster,McDermitt,Nevada
Achabal,Lekeitio,Boise,Idaho
Achabal,Lekeitio,Portland,Oregon
Achabal,Ea,Castleford,Idaho
Achabal,Ea,Portland,Oregon
Achurra,Aulesti,Meridian,Idaho
Acordagoitia,Ereño,Boise,Idaho
Acordagoitia,Ispaster,Boise,Idaho
Acordagoitia,Ispaster,Caldwell,Idaho
Acordagoitia,Ereño,Ontario,Oregon
Acordagoitia,Ereño,Portland,Oregon
Aguirre,Dax,Emmett,Idaho
Aguirre,Ondarroa,Cascade,Idaho
Aguirre,Ondarroa,Portland,Oregon
Aguirre,Arantza,Clallum Bay,Washington
Alberdi,Iurreta,Twin Falls,Idaho
Albisu,Markina-Xemein,McDermitt,Nevada
Alcelay,Oñati,Boise,Idaho
Alcorta,Markina-Xemein,McDermitt,Nevada
Alcorta,Markina-Xemein,Winnemucca,Nevada
Aldamiz,Arteaga,Boise,Idaho
Aldape,Mallabia,Boise,Idaho
Aldape,Ziortza Bolibar,Boise,Idaho
Aldasoro,Mutiloa,Telluride,Colorado
Aldazabal,Ispaster,Salt Lake City,Utah
Aldecoa,Ea,Boise,Idaho
Aldecoa,Lekeitio,Arock,Oregon
Altuna,Mondragon/Arrasate,Burns,Oregon
Alzuri,Arantza,Clallum Bay,Washington
Alzuri,Arantza,Port Angeles,Washington
Alzuri,Arantza,Seattle,Washington
Amillategui,Eibar,Boise,Idaho
Amuchastegui,Berriatua,Boise,Idaho
Anacabe,Berriatua,Elko,Nevada
Anaut,Isaba,Vaughn,New Mexico
Ancho,Abaurreagaina,Blackfoot,Idaho
Ancho,Abaurreagaina,Battle Mountain,Nevada
Andikoetxea,Busturia,Green River,Wyoming
Andion,Pamplona-Iruña,Boise,Idaho
Andueza,Lesaka,Burns,Oregon
Anduiza,Lekeitio,Boise,Idaho
Ansotegui,Arteaga,Burns,Oregon
Ansotegui,Ibarrengelu,McDermitt,Nevada
Ansotegui,Ibarrengelu,Winnemucca,Nevada
Ansotegui,Artea,Boise,Idaho
Ansotegui,Artea,McDermitt,Nevada
Appeciex,Mugere,Grand Junction,Colorado
Aramaio,Ondarroa,Burns,Oregon
Aramaio,Ondarroa,Boise,Idaho
Arambel,Banka,Eureka,Nevada
Arambel,Banka,Rock Springs,Wyoming
Arambel,Banka,Buffalo,Wyoming
Aramburu,Aulesti,Emmett,Idaho
Aramburu,Aulesti,Boise,Idaho
Aramburu,Tafalla,Tampa,Florida
Aramburu,Tafalla,Dubuque,Iowa
Aramburu,Tafalla,Chicago,Illinois
Aramburu,Tafalla,Seattle,Washington
Arana,Untzilla,Emmett,Idaho
Arana,Ereño,Nampa,Idaho
Aranaz,Nabarniz,Burns,Oregon
Arando,Ea,Jordan Valley,Oregon
Araquistain,Lekeitio,Jordan Valley,Oregon
Araquistain,Lekeitio,Caldwell,Idaho
Araquistain,Lekeitio,Boise,Idaho
Arbonies,Saragüeta,Golconda,Nevada
Arbonies,Saragüeta,Winnemucca,Nevada
Arburua,Etxalar,Burns,Oregon
Areitio,Barinaga,Elko,Nevada
Areitio,Barinaga,New Plymouth,Idaho
Areitio,Mallabia,Boise,Idaho
Arestizabal,Gernika,Blackfoot,Idaho
Armaolea,Nabarniz,Battle Mountain,Nevada
Armaolea,Ispaster,Lovelock,Nevada
Armaolea,Ispaster,Boise,Idaho
Arostegui,Gizaburuaga,Boise,Idaho
Arostegui,Gizaburuaga,Elko,Nevada
Arostegui,Ea,Elko,Nevada
Arostegui,Ea,Portland,Oregon
Arqueta,Bermeo,Golconda,Nevada
Arqueta,Bermeo,Winnemucca,Nevada
Arralde,Ibiriku,Yakima,Washington
Arrascada,Ispaster,Palisade,Colorado
Arrate,Ondarroa,Jordan Valley,Oregon
Arrayet,Irouléguy,Loma,Colorado
Arrechea,Sunbilla,Buffalo,Wyoming
Arrechea,Luzaide-Valcarlos,Denver,Colorado
Arregui,Berriatua,Boise,Idaho
Arriaga,Ispaster,Homedale,Idaho
Arriaga,Mendexa,Caldwell,Idaho
Arriaga,Mendexa,Boise,Idaho
Arriaga,Ziortza Bolibar,Caldwell,Idaho
Arriaga,Amoroto,Ontario,Oregon
Arrias,Lekeitio,Boise,Idaho
Arrieta,Ziortza Bolibar,Emmett,Idaho
Arrieta,Ziortza Bolibar,Boise,Idaho
Arrillaga,Mendexa,Mountain Home,Idaho
Arriola,Mutriku,Boise,Idaho
Arriola,Elantxobe,Jordan Valley,Oregon
Arriola,Mendaro,Nampa,Idaho
Arriola,Elantxobe,Boise,Idaho
Arriola,Mutriku,Boise,Idaho
Arriola,Mutriku,Homedale,Idaho
Arriz(ubieta),Ispaster,Salt Lake City,Utah
Arriza(balaga),Markina-Xemein,Palisade,Colorado
Arrizabala,Ereño,Emmett,Idaho
Arrizabalaga,Ereño,Emmett,Idaho
Arrizabalaga,Ereño,Nyssa,Oregon
Arrubarrena,Pedernalles-Sukarrieta,Boise,Idaho
Aruabarrena,Otxandio,Sheridan,Wyoming
Ascargorta,Bedarona,Winnemucca,Nevada
Ascargorta,Bedarona,Reno,Nevada
Ascargorta,Bedarona,Seattle,Washington
Ascuena,Ea,Pocatello,Idaho
Asla,Ibarrengelu,Boise,Idaho
Asla,Ibarrengelu,LaGrande,Oregon
Asla,Ibarrengelu,Kingston,Washington
Aspiasu,Aulesti,Twin Falls,Idaho
Aspiri,Akorda,Emmett,Idaho
Aspiri,Akorda,Seattle,Washington
Astorquia,Aulesti,Meridian,Idaho
Astorquia,Aulesti,Gooding,Idaho
Asumendi,Gernika,McDermitt,Nevada
Asumendi,Gernika,Lovelock,Nevada
Asumendi,Markina-Xemein,Meridian,Idaho
Auza,Lizaso,Casa Grande,Arizona
Auza,Lizaso,Flagstaff,Arizona
Auza,Lizaso,Tacna,Arizona
Auzqui,Mendibe,Sheridan,Wyoming
Auzqui,Mendibe,Buffalo,Wyoming
Ayarra,Jaurrieta,Boise,Idaho
Ayarza(guena),Garai,Jerome,Idaho
Azaola,Bilbao,Boise,Idaho
Azcarate,Aibar,Boise,Idaho
Azcarraga,Azpilkueta,Fruita,Colorado
Azqueta,Gernika,Boise,Idaho
Azqueta,Gernika,Portland,Oregon
Azqueta,Gernika,Seattle,Washington
Azurtza,Donostia-San Sebastian,Boise,Idaho
Badiola,Lekeitio,Boise,Idaho
Balanzategui,Muxika,Ontario,Oregon
Baleztena,Zubieta,Fruita,Colorado
Baleztena,Zubieta,Loma,Colorado
Baleztena,Zubieta,Grand Junction,Colorado
Barainca,Bedarona,Elko,Nevada
Barainca,Bedarona,Ely,Nevada
Barquin,Gernika,Boise,Idaho
Barrenengoa,Deusto,Seattle,Washington
Barroetabena,Markina-Xemein,Emmett,Idaho
Barroetabena,Markina-Xemein,Yakima,Washington
Barrutia,Amoroto,Salt Lake City,Utah
Basabe,Arteaga,Emmett,Idaho
Basabe,Ereño,Boise,Idaho
Bascaran,Barinaga,Clallum Bay,Washington
Basterrechea,Arbatzegi-Munitibar,Gooding,Idaho
Basterrechea,Abadiño,Telluride,Colorado
Bastida,Arteaga,Nampa,Idaho
Bastida,Arteaga,Boise,Idaho
Beitia,Amorebieta-Etxano(Zornotza),Emmett,Idaho
Belaustegui,Arbatzegi-Munitibar,Battle Mountain,Nevada
Belaustegui,Lekeitio,Boise,Idaho
Belaustegui,Mundaka,Mountain Home,Idaho
Belaustegui,Lekeitio,Seattle,Washington
Bengoa,Ispaster,McDermitt,Nevada
Bengoa,Ispaster,Winnemucca,Nevada
Bengoechea,Nabarniz,McDermitt,Nevada
Bengoechea,Nabarniz,Winnemucca,Nevada
Bengoechea,Arizkun,Glasgow,Montana
